nutrient,gender,age_start_months,age_end_months,amount,unit,source_type,source_name,source_url,notes
Vitamin A,Pregnant,372,600,2985.72,mcg RAE,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin A,Lactating,372,600,3215.39,mcg RAE,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin A,Male,612,840,3521.62,mcg RAE,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin A,Female,612,840,2756.05,mcg RAE,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin A,Male,840,,3815.09,mcg RAE,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin A,Female,840,,2985.72,mcg RAE,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin C,Male,0,6,78.46,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin C,Female,0,6,61.41,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin C,Male,7,12,98.08,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin C,Female,7,12,76.76,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin C,Male,12,36,117.69,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin C,Female,12,36,92.11,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin C,Male,48,96,156.92,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin C,Female,48,96,122.81,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin C,Male,108,156,176.54,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin C,Female,108,156,138.16,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin C,Male,168,216,215.77,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin C,Female,168,216,168.86,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin C,Pregnant,168,216,219.52,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin C,Lactating,168,216,236.41,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin C,Male,228,360,196.16,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin C,Female,228,360,153.51,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin C,Pregnant,228,360,199.57,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin C,Lactating,228,360,214.92,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin C,Male,372,600,196.16,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin C,Female,372,600,153.51,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin C,Pregnant,372,600,199.57,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin C,Lactating,372,600,214.92,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin C,Male,612,840,235.39,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin C,Female,612,840,184.22,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin C,Male,840,,255.00,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin C,Female,840,,199.57,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin D,Male,0,6,6.07,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin D,Female,0,6,4.75,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin D,Male,7,12,7.59,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin D,Female,7,12,5.94,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin D,Male,12,36,9.11,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin D,Female,12,36,7.13,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin D,Male,48,96,12.14,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin D,Female,48,96,9.50,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin D,Male,108,156,13.66,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin D,Female,108,156,10.69,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin D,Male,168,216,16.70,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin D,Female,168,216,13.07,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin D,Pregnant,168,216,16.99,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin D,Lactating,168,216,18.30,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin D,Male,228,360,15.18,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin D,Female,228,360,11.88,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin D,Pregnant,228,360,15.44,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin D,Lactating,228,360,16.63,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin D,Male,372,600,15.18,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin D,Female,372,600,11.88,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin D,Pregnant,372,600,15.44,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin D,Lactating,372,600,16.63,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin D,Male,612,840,18.22,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin D,Female,612,840,14.26,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin D,Male,840,,19.73,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin D,Female,840,,15.44,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin E,Male,0,6,1.90,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin E,Female,0,6,1.49,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin E,Male,7,12,2.38,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin E,Female,7,12,1.86,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin E,Male,12,36,2.86,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin E,Female,12,36,2.24,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin E,Male,48,96,3.81,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin E,Female,48,96,2.98,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin E,Male,108,156,4.29,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin E,Female,108,156,3.35,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin E,Male,168,216,5.24,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin E,Female,168,216,4.10,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin E,Pregnant,168,216,5.33,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin E,Lactating,168,216,5.74,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin E,Male,228,360,4.76,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin E,Female,228,360,3.73,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin E,Pregnant,228,360,4.84,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin E,Lactating,228,360,5.22,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin E,Male,372,600,4.76,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin E,Female,372,600,3.73,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin E,Pregnant,372,600,4.84,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin E,Lactating,372,600,5.22,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin E,Male,612,840,5.71,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin E,Female,612,840,4.47,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin E,Male,840,,6.19,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin E,Female,840,,4.84,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin K,Male,0,6,409.75,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin K,Female,0,6,320.67,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin K,Male,7,12,512.18,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin K,Female,7,12,400.84,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin K,Male,12,36,614.62,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin K,Female,12,36,481.00,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin K,Male,48,96,819.49,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin K,Female,48,96,641.34,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin K,Male,108,156,921.93,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin K,Female,108,156,721.51,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin K,Male,168,216,1126.80,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin K,Female,168,216,881.84,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin K,Pregnant,168,216,1146.39,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin K,Lactating,168,216,1234.58,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin K,Male,228,360,1024.36,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin K,Female,228,360,801.67,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin K,Pregnant,228,360,1042.18,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin K,Lactating,228,360,1122.35,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin K,Male,372,600,1024.36,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin K,Female,372,600,801.67,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin K,Pregnant,372,600,1042.18,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin K,Lactating,372,600,1122.35,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin K,Male,612,840,1229.23,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin K,Female,612,840,962.01,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin K,Male,840,,1331.67,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin K,Female,840,,1042.18,mcg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B1,Male,0,6,0.23,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B1,Female,0,6,0.18,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B1,Male,7,12,0.29,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B1,Female,7,12,0.23,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B1,Male,12,36,0.34,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B1,Female,12,36,0.27,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B1,Male,48,96,0.46,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B1,Female,48,96,0.36,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B1,Male,108,156,0.52,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B1,Female,108,156,0.41,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B1,Male,168,216,0.63,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B1,Female,168,216,0.49,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B1,Pregnant,168,216,0.49,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B1,Lactating,168,216,0.49,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B1,Male,228,360,0.57,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B1,Female,228,360,0.45,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B1,Pregnant,228,360,0.45,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B1,Lactating,228,360,0.45,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B1,Male,372,600,0.57,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B1,Female,372,600,0.45,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B1,Pregnant,372,600,0.45,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B1,Lactating,372,600,0.45,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B1,Male,612,840,0.69,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B1,Female,612,840,0.54,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B1,Male,840,,0.75,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B1,Female,840,,0.58,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B2,Male,0,6,0.57,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B2,Female,0,6,0.45,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B2,Male,7,12,0.71,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B2,Female,7,12,0.56,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B2,Male,12,36,0.85,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B2,Female,12,36,0.67,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B2,Male,48,96,1.14,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B2,Female,48,96,0.89,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B2,Male,108,156,1.28,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B2,Female,108,156,1.00,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B2,Male,168,216,1.57,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B2,Female,168,216,1.23,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B2,Pregnant,168,216,1.23,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B2,Lactating,168,216,1.23,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B2,Male,228,360,1.43,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B2,Female,228,360,1.12,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B2,Pregnant,228,360,1.12,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B2,Lactating,228,360,1.12,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B2,Male,372,600,1.43,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B2,Female,372,600,1.12,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B2,Pregnant,372,600,1.12,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B2,Lactating,372,600,1.12,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B2,Male,612,840,1.71,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B2,Female,612,840,1.34,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B2,Male,840,,1.85,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B2,Female,840,,1.45,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B3,Male,0,6,5.04,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B3,Female,0,6,3.94,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B3,Male,7,12,6.30,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B3,Female,7,12,4.93,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B3,Male,12,36,7.56,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B3,Female,12,36,5.92,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B3,Male,48,96,10.08,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B3,Female,48,96,7.89,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B3,Male,108,156,11.34,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B3,Female,108,156,8.87,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B3,Male,168,216,13.86,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B3,Female,168,216,10.84,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B3,Pregnant,168,216,10.84,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B3,Lactating,168,216,10.84,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B3,Male,228,360,12.60,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B3,Female,228,360,9.86,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B3,Pregnant,228,360,9.86,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B3,Lactating,228,360,9.86,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B3,Male,372,600,12.60,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B3,Female,372,600,9.86,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B3,Pregnant,372,600,9.86,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B3,Lactating,372,600,9.86,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B3,Male,612,840,15.12,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B3,Female,612,840,11.83,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B3,Male,840,,16.38,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B3,Female,840,,12.81,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B5,Male,0,6,1.32,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B5,Female,0,6,1.04,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B5,Male,7,12,1.65,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B5,Female,7,12,1.29,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B5,Male,12,36,1.99,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B5,Female,12,36,1.55,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B5,Male,48,96,2.65,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B5,Female,48,96,2.07,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B5,Male,108,156,2.98,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B5,Female,108,156,2.33,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B5,Male,168,216,3.64,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B5,Female,168,216,2.85,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B5,Pregnant,168,216,2.85,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B5,Lactating,168,216,2.85,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B5,Male,228,360,3.31,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B5,Female,228,360,2.59,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B5,Pregnant,228,360,2.59,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B5,Lactating,228,360,2.59,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B5,Male,372,600,3.31,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B5,Female,372,600,2.59,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B5,Pregnant,372,600,2.59,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B5,Lactating,372,600,2.59,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B5,Male,612,840,3.97,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin B5,Female,612,840,3.11,mg,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
