nutrient,gender,age_start_months,age_end_months,amount,unit,source_type,source_name,source_url,notes
Arginine,Male,228,360,5000,mg,Research-based,Circulation Research,https://doi.org/10.1161/01.res.0000146676.91042.43,"Conditionally essential during wound healing, burns, sepsis, trauma, surgery, immune dysfunction, stress, critical illness, pregnancy, and growth periods. Optimal: 3000-6000mg/day for cardiovascular health, therapeutic: up to 30000mg/day"
Arginine,Pregnant,228,360,6000,mg,Research-based,Circulation Research,https://doi.org/10.1161/01.res.0000146676.91042.43,"Conditionally essential during wound healing, burns, sepsis, trauma, surgery, immune dysfunction, stress, critical illness, pregnancy, and growth periods. Optimal: 3000-6000mg/day for cardiovascular health, therapeutic: up to 30000mg/day"
Arginine,Female,372,600,5000,mg,Research-based,Circulation Research,https://doi.org/10.1161/01.res.0000146676.91042.43,"Conditionally essential during wound healing, burns, sepsis, trauma, surgery, immune dysfunction, stress, critical illness, pregnancy, and growth periods. Optimal: 3000-6000mg/day for cardiovascular health, therapeutic: up to 30000mg/day"
Arginine,Lactating,372,600,6000,mg,Research-based,Circulation Research,https://doi.org/10.1161/01.res.0000146676.91042.43,"Conditionally essential during wound healing, burns, sepsis, trauma, surgery, immune dysfunction, stress, critical illness, pregnancy, and growth periods. Optimal: 3000-6000mg/day for cardiovascular health, therapeutic: up to 30000mg/day"
Arginine,Male,372,600,5000,mg,Research-based,Circulation Research,https://doi.org/10.1161/01.res.0000146676.91042.43,"Conditionally essential during wound healing, burns, sepsis, trauma, surgery, immune dysfunction, stress, critical illness, pregnancy, and growth periods. Optimal: 3000-6000mg/day for cardiovascular health, therapeutic: up to 30000mg/day"
Arginine,Pregnant,372,600,6000,mg,Research-based,Circulation Research,https://doi.org/10.1161/01.res.0000146676.91042.43,"Conditionally essential during wound healing, burns, sepsis, trauma, surgery, immune dysfunction, stress, critical illness, pregnancy, and growth periods. Optimal: 3000-6000mg/day for cardiovascular health, therapeutic: up to 30000mg/day"
Arginine,Female,612,840,5000,mg,Research-based,Circulation Research,https://doi.org/10.1161/01.res.0000146676.91042.43,"Conditionally essential during wound healing, burns, sepsis, trauma, surgery, immune dysfunction, stress, critical illness, pregnancy, and growth periods. Optimal: 3000-6000mg/day for cardiovascular health, therapeutic: up to 30000mg/day"
Arginine,Male,612,840,5000,mg,Research-based,Circulation Research,https://doi.org/10.1161/01.res.0000146676.91042.43,"Conditionally essential during wound healing, burns, sepsis, trauma, surgery, immune dysfunction, stress, critical illness, pregnancy, and growth periods. Optimal: 3000-6000mg/day for cardiovascular health, therapeutic: up to 30000mg/day"
Arginine,Female,840,840,5000,mg,Research-based,Circulation Research,https://doi.org/10.1161/01.res.0000146676.91042.43,"Conditionally essential during wound healing, burns, sepsis, trauma, surgery, immune dysfunction, stress, critical illness, pregnancy, and growth periods. Optimal: 3000-6000mg/day for cardiovascular health, therapeutic: up to 30000mg/day"
Arginine,Male,840,840,5000,mg,Research-based,Circulation Research,https://doi.org/10.1161/01.res.0000146676.91042.43,"Conditionally essential during wound healing, burns, sepsis, trauma, surgery, immune dysfunction, stress, critical illness, pregnancy, and growth periods. Optimal: 3000-6000mg/day for cardiovascular health, therapeutic: up to 30000mg/day"
Beta-Carotene,Female,0,6,1800,mcg,Research-based,American Journal of Clinical Nutrition,https://doi.org/10.1093/ajcn/69.6.1210,"Precursor to vitamin A, important antioxidant. Found in orange and yellow vegetables. Optimal intake from optimal diet analysis"
Beta-Carotene,Male,0,6,1800,mcg,Research-based,American Journal of Clinical Nutrition,https://doi.org/10.1093/ajcn/69.6.1210,"Precursor to vitamin A, important antioxidant. Found in orange and yellow vegetables. Optimal intake from optimal diet analysis"
Beta-Carotene,Female,7,12,2400,mcg,Research-based,American Journal of Clinical Nutrition,https://doi.org/10.1093/ajcn/69.6.1210,"Precursor to vitamin A, important antioxidant. Found in orange and yellow vegetables. Optimal intake from optimal diet analysis"
Beta-Carotene,Male,7,12,2400,mcg,Research-based,American Journal of Clinical Nutrition,https://doi.org/10.1093/ajcn/69.6.1210,"Precursor to vitamin A, important antioxidant. Found in orange and yellow vegetables. Optimal intake from optimal diet analysis"
Beta-Carotene,Female,12,36,3000,mcg,Research-based,American Journal of Clinical Nutrition,https://doi.org/10.1093/ajcn/69.6.1210,"Precursor to vitamin A, important antioxidant. Found in orange and yellow vegetables. Optimal intake from optimal diet analysis"
Beta-Carotene,Male,12,36,3000,mcg,Research-based,American Journal of Clinical Nutrition,https://doi.org/10.1093/ajcn/69.6.1210,"Precursor to vitamin A, important antioxidant. Found in orange and yellow vegetables. Optimal intake from optimal diet analysis"
Beta-Carotene,Female,48,96,3600,mcg,Research-based,American Journal of Clinical Nutrition,https://doi.org/10.1093/ajcn/69.6.1210,"Precursor to vitamin A, important antioxidant. Found in orange and yellow vegetables. Optimal intake from optimal diet analysis"
Beta-Carotene,Male,48,96,3600,mcg,Research-based,American Journal of Clinical Nutrition,https://doi.org/10.1093/ajcn/69.6.1210,"Precursor to vitamin A, important antioxidant. Found in orange and yellow vegetables. Optimal intake from optimal diet analysis"
Beta-Carotene,Female,108,156,4800,mcg,Research-based,American Journal of Clinical Nutrition,https://doi.org/10.1093/ajcn/69.6.1210,"Precursor to vitamin A, important antioxidant. Found in orange and yellow vegetables. Optimal intake from optimal diet analysis"
Beta-Carotene,Male,108,156,4800,mcg,Research-based,American Journal of Clinical Nutrition,https://doi.org/10.1093/ajcn/69.6.1210,"Precursor to vitamin A, important antioxidant. Found in orange and yellow vegetables. Optimal intake from optimal diet analysis"
Beta-Carotene,Female,168,216,6000,mcg,Research-based,American Journal of Clinical Nutrition,https://doi.org/10.1093/ajcn/69.6.1210,"Precursor to vitamin A, important antioxidant. Found in orange and yellow vegetables. Optimal intake from optimal diet analysis"
Beta-Carotene,Lactating,168,216,7000,mcg,Research-based,American Journal of Clinical Nutrition,https://doi.org/10.1093/ajcn/69.6.1210,"Precursor to vitamin A, important antioxidant. Found in orange and yellow vegetables. Optimal intake from optimal diet analysis"
Beta-Carotene,Male,168,216,6000,mcg,Research-based,American Journal of Clinical Nutrition,https://doi.org/10.1093/ajcn/69.6.1210,"Precursor to vitamin A, important antioxidant. Found in orange and yellow vegetables. Optimal intake from optimal diet analysis"
Beta-Carotene,Pregnant,168,216,6500,mcg,Research-based,American Journal of Clinical Nutrition,https://doi.org/10.1093/ajcn/69.6.1210,"Precursor to vitamin A, important antioxidant. Found in orange and yellow vegetables. Optimal intake from optimal diet analysis"
Beta-Carotene,Female,228,360,6000,mcg,Research-based,American Journal of Clinical Nutrition,https://doi.org/10.1093/ajcn/69.6.1210,"Precursor to vitamin A, important antioxidant. Found in orange and yellow vegetables. Optimal intake from optimal diet analysis"
Beta-Carotene,Lactating,228,360,7000,mcg,Research-based,American Journal of Clinical Nutrition,https://doi.org/10.1093/ajcn/69.6.1210,"Precursor to vitamin A, important antioxidant. Found in orange and yellow vegetables. Optimal intake from optimal diet analysis"
Beta-Carotene,Male,228,360,6000,mcg,Research-based,American Journal of Clinical Nutrition,https://doi.org/10.1093/ajcn/69.6.1210,"Precursor to vitamin A, important antioxidant. Found in orange and yellow vegetables. Optimal intake from optimal diet analysis"
Beta-Carotene,Pregnant,228,360,6500,mcg,Research-based,American Journal of Clinical Nutrition,https://doi.org/10.1093/ajcn/69.6.1210,"Precursor to vitamin A, important antioxidant. Found in orange and yellow vegetables. Optimal intake from optimal diet analysis"
Beta-Carotene,Female,372,600,6000,mcg,Research-based,American Journal of Clinical Nutrition,https://doi.org/10.1093/ajcn/69.6.1210,"Precursor to vitamin A, important antioxidant. Found in orange and yellow vegetables. Optimal intake from optimal diet analysis"
Beta-Carotene,Lactating,372,600,7000,mcg,Research-based,American Journal of Clinical Nutrition,https://doi.org/10.1093/ajcn/69.6.1210,"Precursor to vitamin A, important antioxidant. Found in orange and yellow vegetables. Optimal intake from optimal diet analysis"
Beta-Carotene,Male,372,600,6000,mcg,Research-based,American Journal of Clinical Nutrition,https://doi.org/10.1093/ajcn/69.6.1210,"Precursor to vitamin A, important antioxidant. Found in orange and yellow vegetables. Optimal intake from optimal diet analysis"
Beta-Carotene,Pregnant,372,600,6500,mcg,Research-based,American Journal of Clinical Nutrition,https://doi.org/10.1093/ajcn/69.6.1210,"Precursor to vitamin A, important antioxidant. Found in orange and yellow vegetables. Optimal intake from optimal diet analysis"
Beta-Carotene,Female,612,840,5700,mcg,Research-based,American Journal of Clinical Nutrition,https://doi.org/10.1093/ajcn/69.6.1210,"Precursor to vitamin A, important antioxidant. Found in orange and yellow vegetables. Optimal intake from optimal diet analysis"
Beta-Carotene,Male,612,840,5700,mcg,Research-based,American Journal of Clinical Nutrition,https://doi.org/10.1093/ajcn/69.6.1210,"Precursor to vitamin A, important antioxidant. Found in orange and yellow vegetables. Optimal intake from optimal diet analysis"
Beta-Carotene,Female,840,840,5400,mcg,Research-based,American Journal of Clinical Nutrition,https://doi.org/10.1093/ajcn/69.6.1210,"Precursor to vitamin A, important antioxidant. Found in orange and yellow vegetables. Optimal intake from optimal diet analysis"
Beta-Carotene,Male,840,840,5400,mcg,Research-based,American Journal of Clinical Nutrition,https://doi.org/10.1093/ajcn/69.6.1210,"Precursor to vitamin A, important antioxidant. Found in orange and yellow vegetables. Optimal intake from optimal diet analysis"
Calcium,Female,0,6,300,mg,RDA,NIH ODS,https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/,"Essential for bone health, muscle function, nerve transmission. Needs increase with age"
Calcium,Male,0,6,300,mg,RDA,NIH ODS,https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/,"Essential for bone health, muscle function, nerve transmission. Needs increase with age"
Calcium,Female,7,12,400,mg,RDA,NIH ODS,https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/,"Essential for bone health, muscle function, nerve transmission. Needs increase with age"
Calcium,Male,7,12,400,mg,RDA,NIH ODS,https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/,"Essential for bone health, muscle function, nerve transmission. Needs increase with age"
Calcium,Female,12,36,500,mg,RDA,NIH ODS,https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/,"Essential for bone health, muscle function, nerve transmission. Needs increase with age"
Calcium,Male,12,36,500,mg,RDA,NIH ODS,https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/,"Essential for bone health, muscle function, nerve transmission. Needs increase with age"
Calcium,Female,48,96,600,mg,RDA,NIH ODS,https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/,"Essential for bone health, muscle function, nerve transmission. Needs increase with age"
Calcium,Male,48,96,600,mg,RDA,NIH ODS,https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/,"Essential for bone health, muscle function, nerve transmission. Needs increase with age"
Calcium,Female,108,156,800,mg,RDA,NIH ODS,https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/,"Essential for bone health, muscle function, nerve transmission. Needs increase with age"
Calcium,Male,108,156,800,mg,RDA,NIH ODS,https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/,"Essential for bone health, muscle function, nerve transmission. Needs increase with age"
Calcium,Female,168,216,1000,mg,RDA,NIH ODS,https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/,"Essential for bone health, muscle function, nerve transmission. Needs increase with age"
Calcium,Lactating,168,216,1000,mg,RDA,NIH ODS,https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/,"Essential for bone health, muscle function, nerve transmission. Needs increase with age"
Calcium,Male,168,216,1000,mg,RDA,NIH ODS,https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/,"Essential for bone health, muscle function, nerve transmission. Needs increase with age"
Calcium,Pregnant,168,216,1000,mg,RDA,NIH ODS,https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/,"Essential for bone health, muscle function, nerve transmission. Needs increase with age"
Calcium,Female,228,360,1000,mg,RDA,NIH ODS,https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/,"Essential for bone health, muscle function, nerve transmission. Needs increase with age"
Calcium,Lactating,228,360,1000,mg,RDA,NIH ODS,https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/,"Essential for bone health, muscle function, nerve transmission. Needs increase with age"
Calcium,Male,228,360,1000,mg,RDA,NIH ODS,https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/,"Essential for bone health, muscle function, nerve transmission. Needs increase with age"
Calcium,Pregnant,228,360,1000,mg,RDA,NIH ODS,https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/,"Essential for bone health, muscle function, nerve transmission. Needs increase with age"
Calcium,Female,372,600,1000,mg,RDA,NIH ODS,https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/,"Essential for bone health, muscle function, nerve transmission. Needs increase with age"
Calcium,Lactating,372,600,1000,mg,RDA,NIH ODS,https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/,"Essential for bone health, muscle function, nerve transmission. Needs increase with age"
Calcium,Male,372,600,1000,mg,RDA,NIH ODS,https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/,"Essential for bone health, muscle function, nerve transmission. Needs increase with age"
Calcium,Pregnant,372,600,1000,mg,RDA,NIH ODS,https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/,"Essential for bone health, muscle function, nerve transmission. Needs increase with age"
Calcium,Female,612,840,950,mg,RDA,NIH ODS,https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/,"Essential for bone health, muscle function, nerve transmission. Needs increase with age"
Calcium,Male,612,840,950,mg,RDA,NIH ODS,https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/,"Essential for bone health, muscle function, nerve transmission. Needs increase with age"
Calcium,Female,840,840,900,mg,RDA,NIH ODS,https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/,"Essential for bone health, muscle function, nerve transmission. Needs increase with age"
Calcium,Male,840,840,900,mg,RDA,NIH ODS,https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/,"Essential for bone health, muscle function, nerve transmission. Needs increase with age"
Choline,Female,0,6,125,mg,*AI,NIH ODS,https://ods.od.nih.gov/factsheets/Choline-HealthProfessional/,"Essential for brain development, liver function, and muscle movement"
Choline,Male,0,6,125,mg,*AI,NIH ODS,https://ods.od.nih.gov/factsheets/Choline-HealthProfessional/,"Essential for brain development, liver function, and muscle movement"
Choline,Female,7,12,150,mg,*AI,NIH ODS,https://ods.od.nih.gov/factsheets/Choline-HealthProfessional/,"Essential for brain development, liver function, and muscle movement"
Choline,Male,7,12,150,mg,*AI,NIH ODS,https://ods.od.nih.gov/factsheets/Choline-HealthProfessional/,"Essential for brain development, liver function, and muscle movement"
Choline,Female,12,36,200,mg,*AI,NIH ODS,https://ods.od.nih.gov/factsheets/Choline-HealthProfessional/,"Essential for brain development, liver function, and muscle movement"
Choline,Male,12,36,200,mg,*AI,NIH ODS,https://ods.od.nih.gov/factsheets/Choline-HealthProfessional/,"Essential for brain development, liver function, and muscle movement"
Choline,Female,48,96,250,mg,*AI,NIH ODS,https://ods.od.nih.gov/factsheets/Choline-HealthProfessional/,"Essential for brain development, liver function, and muscle movement"
Choline,Male,48,96,250,mg,*AI,NIH ODS,https://ods.od.nih.gov/factsheets/Choline-HealthProfessional/,"Essential for brain development, liver function, and muscle movement"
Choline,Female,108,156,375,mg,*AI,NIH ODS,https://ods.od.nih.gov/factsheets/Choline-HealthProfessional/,"Essential for brain development, liver function, and muscle movement"
Choline,Male,108,156,375,mg,*AI,NIH ODS,https://ods.od.nih.gov/factsheets/Choline-HealthProfessional/,"Essential for brain development, liver function, and muscle movement"
Choline,Female,168,216,400,mg,*AI,NIH ODS,https://ods.od.nih.gov/factsheets/Choline-HealthProfessional/,"Essential for brain development, liver function, and muscle movement"
Choline,Lactating,168,216,550,mg,*AI,NIH ODS,https://ods.od.nih.gov/factsheets/Choline-HealthProfessional/,"Essential for brain development, liver function, and muscle movement"
Choline,Male,168,216,550,mg,*AI,NIH ODS,https://ods.od.nih.gov/factsheets/Choline-HealthProfessional/,"Essential for brain development, liver function, and muscle movement"
Choline,Pregnant,168,216,450,mg,*AI,NIH ODS,https://ods.od.nih.gov/factsheets/Choline-HealthProfessional/,"Essential for brain development, liver function, and muscle movement"
Choline,Female,228,360,425,mg,*AI,NIH ODS,https://ods.od.nih.gov/factsheets/Choline-HealthProfessional/,"Essential for brain development, liver function, and muscle movement"
Choline,Lactating,228,360,550,mg,*AI,NIH ODS,https://ods.od.nih.gov/factsheets/Choline-HealthProfessional/,"Essential for brain development, liver function, and muscle movement"
Choline,Male,228,360,550,mg,*AI,NIH ODS,https://ods.od.nih.gov/factsheets/Choline-HealthProfessional/,"Essential for brain development, liver function, and muscle movement"
Choline,Pregnant,228,360,450,mg,*AI,NIH ODS,https://ods.od.nih.gov/factsheets/Choline-HealthProfessional/,"Essential for brain development, liver function, and muscle movement"
Choline,Female,372,600,425,mg,*AI,NIH ODS,https://ods.od.nih.gov/factsheets/Choline-HealthProfessional/,"Essential for brain development, liver function, and muscle movement"
Choline,Lactating,372,600,550,mg,*AI,NIH ODS,https://ods.od.nih.gov/factsheets/Choline-HealthProfessional/,"Essential for brain development, liver function, and muscle movement"
Choline,Male,372,600,550,mg,*AI,NIH ODS,https://ods.od.nih.gov/factsheets/Choline-HealthProfessional/,"Essential for brain development, liver function, and muscle movement"
Choline,Pregnant,372,600,450,mg,*AI,NIH ODS,https://ods.od.nih.gov/factsheets/Choline-HealthProfessional/,"Essential for brain development, liver function, and muscle movement"
Choline,Female,612,840,425,mg,*AI,NIH ODS,https://ods.od.nih.gov/factsheets/Choline-HealthProfessional/,"Essential for brain development, liver function, and muscle movement"
Choline,Male,612,840,550,mg,*AI,NIH ODS,https://ods.od.nih.gov/factsheets/Choline-HealthProfessional/,"Essential for brain development, liver function, and muscle movement"
Choline,Female,840,840,425,mg,*AI,NIH ODS,https://ods.od.nih.gov/factsheets/Choline-HealthProfessional/,"Essential for brain development, liver function, and muscle movement"
Choline,Male,840,840,550,mg,*AI,NIH ODS,https://ods.od.nih.gov/factsheets/Choline-HealthProfessional/,"Essential for brain development, liver function, and muscle movement"
Coenzyme Q10,Female,0,6,30,mg,Research-based,Biofactors,https://doi.org/10.1002/biof.1239,Important for cellular energy production and cardiovascular health. Levels decline with age. Optimal intake from research studies
Coenzyme Q10,Male,0,6,30,mg,Research-based,Biofactors,https://doi.org/10.1002/biof.1239,Important for cellular energy production and cardiovascular health. Levels decline with age. Optimal intake from research studies
Coenzyme Q10,Female,7,12,40,mg,Research-based,Biofactors,https://doi.org/10.1002/biof.1239,Important for cellular energy production and cardiovascular health. Levels decline with age. Optimal intake from research studies
Coenzyme Q10,Male,7,12,40,mg,Research-based,Biofactors,https://doi.org/10.1002/biof.1239,Important for cellular energy production and cardiovascular health. Levels decline with age. Optimal intake from research studies
Coenzyme Q10,Female,12,36,50,mg,Research-based,Biofactors,https://doi.org/10.1002/biof.1239,Important for cellular energy production and cardiovascular health. Levels decline with age. Optimal intake from research studies
Coenzyme Q10,Male,12,36,50,mg,Research-based,Biofactors,https://doi.org/10.1002/biof.1239,Important for cellular energy production and cardiovascular health. Levels decline with age. Optimal intake from research studies
Coenzyme Q10,Female,48,96,60,mg,Research-based,Biofactors,https://doi.org/10.1002/biof.1239,Important for cellular energy production and cardiovascular health. Levels decline with age. Optimal intake from research studies
Coenzyme Q10,Male,48,96,60,mg,Research-based,Biofactors,https://doi.org/10.1002/biof.1239,Important for cellular energy production and cardiovascular health. Levels decline with age. Optimal intake from research studies
Coenzyme Q10,Female,108,156,80,mg,Research-based,Biofactors,https://doi.org/10.1002/biof.1239,Important for cellular energy production and cardiovascular health. Levels decline with age. Optimal intake from research studies
Coenzyme Q10,Male,108,156,80,mg,Research-based,Biofactors,https://doi.org/10.1002/biof.1239,Important for cellular energy production and cardiovascular health. Levels decline with age. Optimal intake from research studies
Coenzyme Q10,Female,168,216,100,mg,Research-based,Biofactors,https://doi.org/10.1002/biof.1239,Important for cellular energy production and cardiovascular health. Levels decline with age. Optimal intake from research studies
Coenzyme Q10,Lactating,168,216,120,mg,Research-based,Biofactors,https://doi.org/10.1002/biof.1239,Important for cellular energy production and cardiovascular health. Levels decline with age. Optimal intake from research studies
Coenzyme Q10,Male,168,216,100,mg,Research-based,Biofactors,https://doi.org/10.1002/biof.1239,Important for cellular energy production and cardiovascular health. Levels decline with age. Optimal intake from research studies
Coenzyme Q10,Pregnant,168,216,120,mg,Research-based,Biofactors,https://doi.org/10.1002/biof.1239,Important for cellular energy production and cardiovascular health. Levels decline with age. Optimal intake from research studies
Coenzyme Q10,Female,228,360,100,mg,Research-based,Biofactors,https://doi.org/10.1002/biof.1239,Important for cellular energy production and cardiovascular health. Levels decline with age. Optimal intake from research studies
Coenzyme Q10,Lactating,228,360,120,mg,Research-based,Biofactors,https://doi.org/10.1002/biof.1239,Important for cellular energy production and cardiovascular health. Levels decline with age. Optimal intake from research studies
Coenzyme Q10,Male,228,360,100,mg,Research-based,Biofactors,https://doi.org/10.1002/biof.1239,Important for cellular energy production and cardiovascular health. Levels decline with age. Optimal intake from research studies
Coenzyme Q10,Pregnant,228,360,120,mg,Research-based,Biofactors,https://doi.org/10.1002/biof.1239,Important for cellular energy production and cardiovascular health. Levels decline with age. Optimal intake from research studies
Coenzyme Q10,Female,372,600,100,mg,Research-based,Biofactors,https://doi.org/10.1002/biof.1239,Important for cellular energy production and cardiovascular health. Levels decline with age. Optimal intake from research studies
Coenzyme Q10,Lactating,372,600,120,mg,Research-based,Biofactors,https://doi.org/10.1002/biof.1239,Important for cellular energy production and cardiovascular health. Levels decline with age. Optimal intake from research studies
Coenzyme Q10,Male,372,600,100,mg,Research-based,Biofactors,https://doi.org/10.1002/biof.1239,Important for cellular energy production and cardiovascular health. Levels decline with age. Optimal intake from research studies
Coenzyme Q10,Pregnant,372,600,120,mg,Research-based,Biofactors,https://doi.org/10.1002/biof.1239,Important for cellular energy production and cardiovascular health. Levels decline with age. Optimal intake from research studies
Coenzyme Q10,Female,612,840,95,mg,Research-based,Biofactors,https://doi.org/10.1002/biof.1239,Important for cellular energy production and cardiovascular health. Levels decline with age. Optimal intake from research studies
Coenzyme Q10,Male,612,840,95,mg,Research-based,Biofactors,https://doi.org/10.1002/biof.1239,Important for cellular energy production and cardiovascular health. Levels decline with age. Optimal intake from research studies
Coenzyme Q10,Female,840,840,90,mg,Research-based,Biofactors,https://doi.org/10.1002/biof.1239,Important for cellular energy production and cardiovascular health. Levels decline with age. Optimal intake from research studies
Coenzyme Q10,Male,840,840,90,mg,Research-based,Biofactors,https://doi.org/10.1002/biof.1239,Important for cellular energy production and cardiovascular health. Levels decline with age. Optimal intake from research studies
