Nutrient,Age_Group,Male,Female,Pregnant,Lactating,Unit,Source,Source_Links,Footnotes,Nutrient_Notes
Alpha-Lipoic Acid,9–13 years,210.0,210.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Alpha-Lipoic Acid,Birth to 6 months,45.0,45.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Anthocyanins,14–18 years,136.0,136.0,149.6,163.2,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Anthocyanins,19+ years,160,160,160,160,mg,Research-based,Multiple peer-reviewed studies and clinical trials,Berry consumption studies,
Anthocyanins,19–30 years,160.0,160.0,176.0,192.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Anthocyanins,1–3 years,56.0,56.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Anthocyanins,31–50 years,160.0,160.0,176.0,192.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Anthocyanins,4–8 years,80.0,80.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Anthocyanins,51–70 years,144.0,144.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Anthocyanins,70+ years,136.0,136.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Anthocyanins,7–12 months,40.0,40.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Anthocyanins,9–13 years,112.0,112.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Anthocyanins,Birth to 6 months,24.0,24.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Arginine,19+ years,CS,CS,CS,CS,mg,Conditionally essential,,,Can be synthesized by the body. requirements increase during stress/illness
Aspartic Acid,19+ years,CS,CS,CS,CS,mg,Conditionally essential,,,Can be synthesized by the body. requirements increase during stress/illness
Bacillus coagulans,14–18 years,1.7×10^9,1.7×10^9,1.9×10^9,2.0×10^9,CFU,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan. CFU values adjusted for age
Bacillus coagulans,19+ years,2×10^9,2×10^9,2×10^9,2×10^9,CFU,Research-based,Multiple peer-reviewed studies and clinical trials,Spore-forming probiotic,
Bacillus coagulans,19–30 years,2.0×10^9,2.0×10^9,2.2×10^9,2.4×10^9,CFU,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan. CFU values adjusted for age
Bacillus coagulans,1–3 years,700.0×10^6,700.0×10^6,,,CFU,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan. CFU values adjusted for age
Bacillus coagulans,31–50 years,2.0×10^9,2.0×10^9,2.2×10^9,2.4×10^9,CFU,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan. CFU values adjusted for age
Bacillus coagulans,4–8 years,1.0×10^9,1.0×10^9,,,CFU,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan. CFU values adjusted for age
Bacillus coagulans,51–70 years,1.8×10^9,1.8×10^9,,,CFU,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan. CFU values adjusted for age
Bacillus coagulans,70+ years,1.7×10^9,1.7×10^9,,,CFU,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan. CFU values adjusted for age
Bacillus coagulans,7–12 months,500.0×10^6,500.0×10^6,,,CFU,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan. CFU values adjusted for age
Bacillus coagulans,9–13 years,1.4×10^9,1.4×10^9,,,CFU,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan. CFU values adjusted for age
Bacillus coagulans,Birth to 6 months,300.0×10^6,300.0×10^6,,,CFU,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan. CFU values adjusted for age
Beta-Carotene,14–18 years,2.5,2.5,2.8,3.1,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Beta-Carotene,19+ years,3,3,3,3,mg,Research-based,Multiple peer-reviewed studies and clinical trials,As provitamin A,
Beta-Carotene,19–30 years,3.0,3.0,3.3,3.6,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Beta-Carotene,1–3 years,1.0,1.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Beta-Carotene,31–50 years,3.0,3.0,3.3,3.6,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Beta-Carotene,4–8 years,1.5,1.5,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Beta-Carotene,51–70 years,2.7,2.7,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Beta-Carotene,70+ years,2.5,2.5,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Beta-Carotene,7–12 months,0.8,0.8,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Beta-Carotene,9–13 years,2.1,2.1,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Beta-Carotene,Birth to 6 months,0.4,0.4,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Beta-Glucans,14–18 years,2550.0,2550.0,2805.0,3060.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Beta-Glucans,19+ years,3000,3000,3000,3000,mg,Research-based,Multiple peer-reviewed studies and clinical trials,Immune and cholesterol studies,
Beta-Glucans,19–30 years,3000.0,3000.0,3300.0,3600.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Beta-Glucans,1–3 years,1050.0,1050.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Beta-Glucans,31–50 years,3000.0,3000.0,3300.0,3600.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Beta-Glucans,4–8 years,1500.0,1500.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Beta-Glucans,51–70 years,2700.0,2700.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Beta-Glucans,70+ years,2550.0,2550.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Beta-Glucans,7–12 months,750.0,750.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Beta-Glucans,9–13 years,2100.0,2100.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Beta-Glucans,Birth to 6 months,450.0,450.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Bifidobacterium bifidum,14–18 years,850.0×10^6,850.0×10^6,935.0×10^6,1.0×10^9,CFU,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan. CFU values adjusted for age
Bifidobacterium bifidum,19+ years,1×10^9,1×10^9,1×10^9,1×10^9,CFU,Research-based,Multiple peer-reviewed studies and clinical trials,Daily probiotic intake,
Bifidobacterium bifidum,19–30 years,1.0×10^9,1.0×10^9,1.1×10^9,1.2×10^9,CFU,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan. CFU values adjusted for age
Bifidobacterium bifidum,1–3 years,350.0×10^6,350.0×10^6,,,CFU,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan. CFU values adjusted for age
Bifidobacterium bifidum,31–50 years,1.0×10^9,1.0×10^9,1.1×10^9,1.2×10^9,CFU,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan. CFU values adjusted for age
Bifidobacterium bifidum,4–8 years,500.0×10^6,500.0×10^6,,,CFU,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan. CFU values adjusted for age
Bifidobacterium bifidum,51–70 years,900.0×10^6,900.0×10^6,,,CFU,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan. CFU values adjusted for age
Bifidobacterium bifidum,70+ years,850.0×10^6,850.0×10^6,,,CFU,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan. CFU values adjusted for age
Bifidobacterium bifidum,7–12 months,250.0×10^6,250.0×10^6,,,CFU,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan. CFU values adjusted for age
Bifidobacterium bifidum,9–13 years,700.0×10^6,700.0×10^6,,,CFU,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan. CFU values adjusted for age
Bifidobacterium bifidum,Birth to 6 months,150.0×10^6,150.0×10^6,,,CFU,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan. CFU values adjusted for age
Biotin,14–18 years,25,25,30,35,mcg,ODS Biotin Factsheet,https://ods.od.nih.gov/factsheets/Biotin-HealthProfessional/,*AI,Deficiency rare except with consumption of raw eggs containing avidin
Biotin,19+ years,30,30,30,35,mcg,ODS Biotin Factsheet,https://ods.od.nih.gov/factsheets/Biotin-HealthProfessional/,*AI,Deficiency rare except with consumption of raw eggs containing avidin
Biotin,1–3 years,8,8,,,mcg,ODS Biotin Factsheet,https://ods.od.nih.gov/factsheets/Biotin-HealthProfessional/,*AI,Deficiency rare except with consumption of raw eggs containing avidin
Biotin,4–8 years,12,12,,,mcg,ODS Biotin Factsheet,https://ods.od.nih.gov/factsheets/Biotin-HealthProfessional/,*AI,Deficiency rare except with consumption of raw eggs containing avidin
Biotin,7–12 months,6,6,,,mcg,ODS Biotin Factsheet,https://ods.od.nih.gov/factsheets/Biotin-HealthProfessional/,*AI,Deficiency rare except with consumption of raw eggs containing avidin
Biotin,9–13 years,20,20,,,mcg,ODS Biotin Factsheet,https://ods.od.nih.gov/factsheets/Biotin-HealthProfessional/,*AI,Deficiency rare except with consumption of raw eggs containing avidin
Biotin,Birth to 6 months,5,5,,,mcg,ODS Biotin Factsheet,https://ods.od.nih.gov/factsheets/Biotin-HealthProfessional/,*AI,Deficiency rare except with consumption of raw eggs containing avidin
Boron,19+ years,1,1,1,1,mg,Research estimate,,Safe and adequate intake,
Calcium,0–6 months,200,200,,,mg,ODS Calcium Factsheet,https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/,*AI,Absorption requires adequate vitamin D. dairy products are primary sources
Calcium,14–18 years,1300,1300,1300,1300,mg,ODS Calcium Factsheet,https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/,,Absorption requires adequate vitamin D. dairy products are primary sources
Calcium,19–50 years,1000,1000,1000,1000,mg,ODS Calcium Factsheet,https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/,,Absorption requires adequate vitamin D. dairy products are primary sources
Calcium,1–3 years,700,700,,,mg,ODS Calcium Factsheet,https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/,,Absorption requires adequate vitamin D. dairy products are primary sources
Calcium,4–8 years,1000,1000,,,mg,ODS Calcium Factsheet,https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/,,Absorption requires adequate vitamin D. dairy products are primary sources
Calcium,51–70 years,1000,1200,,,mg,ODS Calcium Factsheet,https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/,,Absorption requires adequate vitamin D. dairy products are primary sources
Calcium,70+ years,1200,1200,,,mg,ODS Calcium Factsheet,https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/,,Absorption requires adequate vitamin D. dairy products are primary sources
Calcium,7–12 months,260,260,,,mg,ODS Calcium Factsheet,https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/,*AI,Absorption requires adequate vitamin D. dairy products are primary sources
Calcium,9–13 years,1300,1300,,,mg,ODS Calcium Factsheet,https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/,,Absorption requires adequate vitamin D. dairy products are primary sources
Carnitine,14–18 years,1700.0,1700.0,1870.0,2040.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Carnitine,19+ years,2000,2000,2000,2000,mg,Research-based,Multiple peer-reviewed studies and clinical trials,Energy metabolism,
Carnitine,19–30 years,2000.0,2000.0,2200.0,2400.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Carnitine,1–3 years,700.0,700.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Carnitine,31–50 years,2000.0,2000.0,2200.0,2400.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Carnitine,4–8 years,1000.0,1000.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Carnitine,51–70 years,1800.0,1800.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Carnitine,70+ years,1700.0,1700.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Carnitine,7–12 months,500.0,500.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Carnitine,9–13 years,1400.0,1400.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Carnitine,Birth to 6 months,300.0,300.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Chlorella,14–18 years,2550.0,2550.0,2805.0,3060.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Chlorella,19+ years,3000,3000,3000,3000,mg,Research-based,Multiple peer-reviewed studies and clinical trials,Whole food supplement,
Chlorella,19–30 years,3000.0,3000.0,3300.0,3600.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Chlorella,1–3 years,1050.0,1050.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Chlorella,31–50 years,3000.0,3000.0,3300.0,3600.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Chlorella,4–8 years,1500.0,1500.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Chlorella,51–70 years,2700.0,2700.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Chlorella,70+ years,2550.0,2550.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Chlorella,7–12 months,750.0,750.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Chlorella,9–13 years,2100.0,2100.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Chlorella,Birth to 6 months,450.0,450.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Chloride,14–18 years,2300,2300,2300,2300,mg,DRI for Chloride,https://www.nationalacademies.org/our-work/dietary-reference-intakes-for-energy-carbohydrate-fiber-fat-fatty-acids-cholesterol-protein-and-amino-acids,*AI,
Chloride,19–50 years,2300,2300,2300,2300,mg,DRI for Chloride,https://www.nationalacademies.org/our-work/dietary-reference-intakes-for-energy-carbohydrate-fiber-fat-fatty-acids-cholesterol-protein-and-amino-acids,*AI,
Chloride,1–3 years,1500,1500,,,mg,DRI for Chloride,https://www.nationalacademies.org/our-work/dietary-reference-intakes-for-energy-carbohydrate-fiber-fat-fatty-acids-cholesterol-protein-and-amino-acids,*AI,
Chloride,4–8 years,1900,1900,,,mg,DRI for Chloride,https://www.nationalacademies.org/our-work/dietary-reference-intakes-for-energy-carbohydrate-fiber-fat-fatty-acids-cholesterol-protein-and-amino-acids,*AI,
Chloride,51–70 years,2000,2000,,,mg,DRI for Chloride,https://www.nationalacademies.org/our-work/dietary-reference-intakes-for-energy-carbohydrate-fiber-fat-fatty-acids-cholesterol-protein-and-amino-acids,*AI,
Chloride,70+ years,1800,1800,,,mg,DRI for Chloride,https://www.nationalacademies.org/our-work/dietary-reference-intakes-for-energy-carbohydrate-fiber-fat-fatty-acids-cholesterol-protein-and-amino-acids,*AI,
Chloride,7–12 months,570,570,,,mg,DRI for Chloride,https://www.nationalacademies.org/our-work/dietary-reference-intakes-for-energy-carbohydrate-fiber-fat-fatty-acids-cholesterol-protein-and-amino-acids,*AI,
Chloride,9–13 years,2300,2300,,,mg,DRI for Chloride,https://www.nationalacademies.org/our-work/dietary-reference-intakes-for-energy-carbohydrate-fiber-fat-fatty-acids-cholesterol-protein-and-amino-acids,*AI,
Chloride,Birth to 6 months,180,180,,,mg,DRI for Chloride,https://www.nationalacademies.org/our-work/dietary-reference-intakes-for-energy-carbohydrate-fiber-fat-fatty-acids-cholesterol-protein-and-amino-acids,*AI,
Chlorophyll,14–18 years,42.5,42.5,46.8,51.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Chlorophyll,19+ years,50,50,50,50,mg,Research-based,Multiple peer-reviewed studies and clinical trials,From green vegetables,
Chlorophyll,19–30 years,50.0,50.0,55.0,60.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Chlorophyll,1–3 years,17.5,17.5,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Chlorophyll,31–50 years,50.0,50.0,55.0,60.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Chlorophyll,4–8 years,25.0,25.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Chlorophyll,51–70 years,45.0,45.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Chlorophyll,70+ years,42.5,42.5,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Chlorophyll,7–12 months,12.5,12.5,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Chlorophyll,9–13 years,35.0,35.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Chlorophyll,Birth to 6 months,7.5,7.5,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Choline,14–18 years,550,400,450,550,mg,ODS Choline Factsheet,https://ods.od.nih.gov/factsheets/Choline-HealthProfessional/,*AI,
Choline,19+ years,550,425,450,550,mg,ODS Choline Factsheet,https://ods.od.nih.gov/factsheets/Choline-HealthProfessional/,*AI,
Choline,1–3 years,200,200,,,mg,ODS Choline Factsheet,https://ods.od.nih.gov/factsheets/Choline-HealthProfessional/,*AI,
